Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
JBTM,0.881,0.718,0.633,0.38,0.78
RBA,0.832,0.761,0.633,0.23,0.7
FSLR,0.969,0.652,0.632,0.55,0.6
SRE,0.883,0.716,0.632,0.2,0.08
COST,0.994,0.636,0.632,0.16,0.18
ADPT,0.667,0.948,0.632,0.53,0.02
ITT,0.759,0.831,0.631,0.33,0.88
PRCH,0.662,0.953,0.631,0.56,0.09
DGNX,0.654,0.964,0.63,1.81,0.51
GSAT,0.763,0.825,0.629,0.98,0.84
RITM,0.83,0.758,0.629,0.2,0.72
ALV,0.763,0.824,0.629,0.23,0.45
GMAB,0.812,0.775,0.629,0.24,0.64
SR,0.641,0.979,0.628,0.23,0.64
BPOP,0.75,0.837,0.628,0.31,0.75
OHI,0.827,0.759,0.628,0.26,0.76
RGLD,0.883,0.711,0.628,0.33,0.8
VLY,0.868,0.724,0.628,0.37,0.81
TRS,0.774,0.811,0.628,0.51,0.91
META,0.999,0.628,0.627,0.29,0.55
CHEF,0.695,0.902,0.627,0.43,0.85
AKRO,0.833,0.753,0.627,0.11,0.0
SNEX,0.765,0.819,0.627,0.39,0.67
TPC,0.666,0.941,0.627,0.48,0.39
CHWY,0.956,0.656,0.627,0.4,0.45
WTS,0.691,0.906,0.626,0.23,0.44
DDS,0.696,0.899,0.626,0.33,0.04
BG,0.894,0.7,0.626,0.31,0.52
RIO,0.92,0.68,0.626,0.17,0.66
PATK,0.742,0.844,0.626,0.42,0.86
M,0.832,0.751,0.625,0.34,0.01
AREC,0.737,0.847,0.624,1.77,0.86
